Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link40,0.00554000793612851,8.09094596876392E-11,-0.0345319856767242,0,0,0,0.806272326765583,0.00035524587987917,-6.99298875252321E-14,-1.25194398560956E-07,0.000878781554386758,-6.64125236525314E-13,0.000904580582691135,0,0,0,0,0,0,package://v1120114/meshes/link40.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link40.STL,,40_Hip_YAS-1,座標系統40,Axis_joint40,joint40,continuous,0.09725,0.026,-0.0345,0,0,-1.5781,base_link,0,0,1,,,,,,,,,,,,
link41,-0.000278209185814601,0.0462992853815996,-0.000602096718738381,0,0,0,0.130677921668038,0.00012417378816091,-3.67919117795142E-09,1.89826515636132E-16,0.00010914592546763,-5.268546660581E-09,5.42820357416351E-05,0,0,0,0,0,0,package://v1120114/meshes/link41.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link41.STL,,41_Hip_YAS-1,座標系統41,Axis_joint41,joint41,continuous,0.006,0,-0.037,-1.5708,0,-1.5708,link40,0,0,1,,,,,,,,,,,,
link42,0.0526108786201295,-4.59281374763747E-05,-0.00235721695964547,0,0,0,1.385827444465,0.000886845906013743,1.27535930788155E-05,-2.28948245765136E-06,0.00105889960972508,9.4833748687106E-07,0.00167603132903397,0,0,0,0,0,0,package://v1120114/meshes/link42.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link42.STL,,42_Thigh_YAS-1,座標系統42,Axis_joint42,joint42,continuous,-0.0005,0.091,0,-1.5708,0,1.5708,link41,0,0,-1,,,,,,,,,,,,
link43,0.0524999999999997,-2.44835401952415E-13,-0.000363508939245749,0,0,0,0.103556252397137,4.28670952246564E-05,-1.36579211763406E-05,3.71021845864953E-17,0.00018664459711235,1.16026255477539E-16,0.00022935635795841,0,0,0,0,0,0,package://v1120114/meshes/link43.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link43.STL,,43_Shank_YAS-1,座標系統43,Axis_joint43,joint43,continuous,0.105,0,0,0,0,0,link42,0,0,1,,,,,,,,,,,,
link44,0.0251446398759674,-0.00218092278055473,-0.000801195731302787,0,0,0,1.07204853166412,0.000692759282208485,8.38756278633913E-07,1.54107990460164E-06,0.000578449272546195,-3.29614988994629E-07,0.00104157035920486,0,0,0,0,0,0,package://v1120114/meshes/link44.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link44.STL,,44_Ankle_YAS-1,座標系統44,Axis_joint44,joint44,continuous,0.105,0,0,0,0,0,link43,0,0,1,,,,,,,,,,,,
link45,-0.0184972653262552,-0.00459453134124363,0.0211348441698521,0,0,0,0.101715978638777,0.000286514322175962,1.0606342828436E-17,6.64291387342064E-19,0.000216072234976875,-4.16367415337648E-06,7.90334685923289E-05,0,0,0,0,0,0,package://v1120114/meshes/link45.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1120114/meshes/link45.STL,,new_45-1,座標系統45,Axis_joint45,joint45,continuous,0.069,-0.006,0.002,-1.5708,0,3.1416,link44,0,0,1,,,,,,,,,,,,
FS_L_RF,0.00685768676682037,0.0607267133593706,-0.00350000052450683,0,0,0,0.0032199225349602,1.16100753183013E-06,-1.19859619550745E-07,1.58776323349033E-20,1.10212937953244E-07,1.79273033679142E-20,1.26639058598093E-06,0,0,0,0,0,0,package://v1120114/meshes/FS_L_RF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1120114/meshes/FS_L_RF.STL,,FS_1227-5,Origin_sensor_L_RF,,sensor_L_RF,fixed,-0.031,0.042679,0.022795,1.5708,0,-1.5708,link45,0,0,0,,,,,,,,,,,,
FS_L_RB,0.00685768676682034,0.0603157866741095,0.00350000052450677,0,0,0,0.0032199225349602,1.16100753183014E-06,-1.19859619550744E-07,-1.58791127901289E-20,1.10212937953243E-07,-1.78379705783044E-20,1.26639058598094E-06,0,0,0,0,0,0,package://v1120114/meshes/FS_L_RB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1120114/meshes/FS_L_RB.STL,,FS_1227-8,Origin_sensor_L_RB,,sensor_L_RB,fixed,-0.031,0.042679,0.022795,-1.5708,0,-1.5708,link45,0,0,0,,,,,,,,,,,,
FS_L_LF,0.00143411083779144,0.0608851083541837,0.00350000052451938,0,0,0,0.0032199225349602,1.16100753183013E-06,-1.19859619550744E-07,7.52255436042383E-23,1.10212937953243E-07,-1.36047695430559E-22,1.26639058598094E-06,0,0,0,0,0,0,package://v1120114/meshes/FS_L_LF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1120114/meshes/FS_L_LF.STL,,FS_1227-6,Origin_sensor_L_LF,Axis_sensor_L_LF,sensor_L_LF,fixed,-0.0310000005245151,-0.047255277468765,0.0226361416627758,1.5707963267949,0,1.57079632679505,link45,0,0,0,,,,,,,,,,,,
FS_L_LB,0.0114338420673542,0.0600840749928783,-0.00350000052452082,0,0,0,0.0032199225349602,1.16100753183013E-06,-1.19859619550744E-07,-1.11328427265954E-22,1.10212937953243E-07,-1.44872813516444E-22,1.26639058598094E-06,0,0,0,0,0,0,package://v1120114/meshes/FS_L_LB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v1120114/meshes/FS_L_LB.STL,,FS_1227-7,Origin_sensor_L_LB,,sensor_L_LB,fixed,-0.031,-0.057255,0.022563,-1.5708,0,1.5708,link45,0,0,0,,,,,,,,,,,,
